ID,Species Name
1800,Acanthurus monroviae
6011,Acanthurus nigricans
4747,Acanthurus nigricauda
4739,Acanthurus nigrofuscus
4738,Acanthurus nigroris
4733,Acanthurus nubilus
4744,Acanthurus olivaceus
4732,Acanthurus polyzona
4742,Acanthurus pyroferus
3905,Acanthurus randalli
58792,Acanthurus reversus
4740,Acanthurus sohal
1259,Acanthurus tennentii
4734,Acanthurus thompsoni
942,Acanthurus tractus
1260,Acanthurus triostegus
12782,Acanthurus tristis
1261,Acanthurus xanthopterus
23015,Acantopsis dialuzona
68515,Acantopsis dinema
68516,Acantopsis ioa
62902,Acantopsis multistigmatus
23017,Acantopsis octoactinotos
68514,Acantopsis rungthipae
66460,Acantopsis spectabilis
60780,Acantopsis thiemmedhi
11272,Acapoeta tanganicae
12258,Acarichthys heckelii
59465,Acarobythites larsonae
12260,Acaronia nassa
46568,Acaronia vultuosa
17032,Acentrogobius audax
4894,Acentrogobius caninus
66879,Acentrogobius cenderawasih
54133,Acentrogobius chlorostigmatoides
25062,Acentrogobius cyanomos
46432,Acentrogobius dayi
56720,Acentrogobius ennorensis
25229,Acentrogobius griseus
23581,Acentrogobius janthinopterus
68732,Acentrogobius limarius
25232,Acentrogobius masoni
23582,Acentrogobius moloanus
23583,Acentrogobius multifasciatus
7228,Acentrogobius nebulosus
60013,Acentrogobius pellidebilis
23585,Acentrogobius pflaumii
9921,Acentrogobius simplex
23587,Acentrogobius suluensis
9922,Acentrogobius therezieni
68735,Acentrogobius vanderloosi
23590,Acentrogobius viganensis
68736,Acentrogobius violarisi
15776,Acentrogobius viridipunctatus
47798,Acentronichthys leptos
66887,Acentronura breviperula
7994,Acentronura gracilissima
16862,Acentronura tentaculata
62231,Acentrophryne dolichonema
59196,Acentrophryne longidens
62136,Acestridium colombiense
57630,Acestridium dichromum
50557,Acestridium discus
65095,Acestridium gymnogaster
57632,Acestridium martini
65096,Acestridium scutatum
64041,Acestridium triplax
63992,Acestrocephalus acutus
52917,Acestrocephalus anomalus
51805,Acestrocephalus boehlkei
63986,Acestrocephalus maculosus
63990,Acestrocephalus nigrifasciatus
63995,Acestrocephalus pallidus
53309,Acestrocephalus sardina
63988,Acestrocephalus stigmatus
52919,Acestrorhynchus abbreviatus
51076,Acestrorhynchus altus
52499,Acestrorhynchus britskii
23498,Acestrorhynchus falcatus
13123,Acestrorhynchus falcirostris
51808,Acestrorhynchus grandoculis
27261,Acestrorhynchus heterolepis
52522,Acestrorhynchus isalineae
51077,Acestrorhynchus lacustris
52523,Acestrorhynchus maculipinna
12336,Acestrorhynchus microlepis
51809,Acestrorhynchus minimus
51815,Acestrorhynchus nasutus
52503,Acestrorhynchus pantaneiro
11926,Acheilognathus asmussii
54928,Acheilognathus barbatulus
55891,Acheilognathus barbatus
61861,Acheilognathus binidentatus
60403,Acheilognathus brevicaudatus
65965,Acheilognathus changtingensis
66150,Acheilognathus coreanus
11928,Acheilognathus cyanostigma
48458,Acheilognathus deignani
61167,Acheilognathus elongatoides
9525,Acheilognathus elongatus
62798,Acheilognathus fasciodorsalis
54711,Acheilognathus gracilis
25606,Acheilognathus hondae
55893,Acheilognathus hypselonotus
55887,Acheilognathus imberbis
62799,Acheilognathus imfasciodorsalis
